Date_time,X-Axis_DZ,Z-Axis_DZ,X-Axis_CZ2,Z-Axis_CZ2,X-Axis_DZ_LCL,X-Axis_DZ_UCL,Z-Axis_DZ_LCL,Z-Axis_DZ_UCL,X-Axis_CZ2_LCL,X-Axis_CZ2_UCL,Z-Axis_CZ2_LCL,Z-Axis_CZ2_UCL
03/28/2021 09:39:07,1.85467100143433,4.95465755462646,1.46142256259918,5.32822275161743,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 09:29:07,1.97263562679291,5.53794384002686,1.5597265958786,5.35443782806396,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 09:19:07,1.97918927669525,4.70561361312866,1.51385128498077,5.36099195480347,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:59:07,2.09060049057007,5.35443782806396,1.57938730716705,6.1146764755249,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:49:07,1.90709960460663,4.71216773986816,1.59904801845551,6.20642948150635,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:39:07,2.06438612937927,5.26268482208252,1.66458415985107,7.14362001419067,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:29:07,1.85467076301575,4.97431898117065,1.5859409570694,5.93117046356201,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:19:07,1.95952820777893,5.38065338134766,1.59249448776245,6.20642948150635,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 08:09:07,1.96608197689056,5.61003589630127,1.59249436855316,6.25885963439941,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 07:59:07,1.95952844619751,5.24957752227783,1.50074398517609,7.39266347885132,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 07:49:07,1.98574280738831,4.87601184844971,1.65803062915802,6.33095121383667,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 07:39:07,1.90709936618805,5.03985643386841,1.70390558242798,6.83559226989746,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 07:29:07,1.84156346321106,5.39376068115234,2.07090711593628,5.49206733703613,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 07:09:11,1.86122417449951,5.04641056060791,1.44831514358521,5.10539436340332,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:55:48,2.04472518,5.662465572,1.26481426,5.38720703,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:45:47,1.907099366,4.777705193,1.36967206,5.27579308,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:35:47,1.99229598,5.111948013,1.43520796,6.03603125,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:25:47,1.972635388,5.47240591,1.40243995,5.38720703,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:15:47,1.828456163,5.184039593,1.46142256,5.49206734,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 06:05:47,1.887438774,5.478960037,1.45486879,5.93117094,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:55:47,1.952974796,5.203701019,1.32379675,5.59692812,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:45:47,1.920206785,5.53794384,1.3172431,5.32822275,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:35:47,1.900546074,4.987426281,1.38277912,5.45274496,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:25:47,1.920206785,4.928442478,1.50074399,5.65591192,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:15:47,1.939867616,5.229916096,1.40899372,5.32822275,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 05:05:47,1.749813199,5.098840714,1.47452974,5.36099195,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 04:55:47,1.78913486,4.980872631,1.35001123,5.91806316,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 04:45:47,1.913652778,5.282346249,1.57938731,6.05569267,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 04:35:47,2.057832479,5.629696846,1.50074399,5.42652988,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 04:25:47,1.972635627,5.433083057,1.40244007,5.58381987,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
03/28/2021 04:15:47,1.920206666,5.721449852,1.58594096,5.78043365,1.25,2.9,9.2,16.3,0.8,3.28,2.62,6.77
